2019-04-01 12:36:51,919 [Worker-17] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: ndms_system:kndcs:1.0.0 @ D:\Demo\GitServer\ndms_app\kndcs\pom.xml.
2019-04-01 12:36:52,342 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:tiles-servlet:jar:3.0.4 is missing, no dependency information available
2019-04-01 12:36:52,350 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:tiles-jsp:jar:3.0.4 is missing, no dependency information available
2019-04-01 12:36:52,356 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:tiles-extras:jar:3.0.4 is missing, no dependency information available
2019-04-01 12:36:52,363 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:tiles-api:jar:3.0.4 is missing, no dependency information available
2019-04-01 12:36:52,369 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:tiles-template:jar:3.0.4 is missing, no dependency information available
2019-04-01 12:36:52,376 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:tiles-request-servlet-wildcard:jar:1.0.6 is missing, no dependency information available
2019-04-01 12:36:52,383 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:tiles-request-api:jar:1.0.6 is missing, no dependency information available
2019-04-01 12:36:52,390 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:tiles-request-servlet:jar:1.0.6 is missing, no dependency information available
2019-04-01 12:36:52,397 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:tiles-request-jsp:jar:1.0.6 is missing, no dependency information available
2019-04-01 12:36:52,403 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:tiles-autotag-core-runtime:jar:1.2 is missing, no dependency information available
2019-04-01 12:36:52,411 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:commons-digester:jar:2.0 is missing, no dependency information available
2019-04-01 12:36:52,418 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_core:jcl-over-slf4j:jar:1.7.25 is missing, no dependency information available
2019-04-01 12:36:52,426 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:log4jdbc-log4j2-jdbc4.1:jar:1.16 is missing, no dependency information available
2019-04-01 12:36:52,433 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_core:commons-pool:jar:1.6 is missing, no dependency information available
2019-04-01 12:36:52,442 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:activemq-pool:jar:5.13.5 is missing, no dependency information available
2019-04-01 12:36:52,451 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:activemq-broker:jar:5.13.5 is missing, no dependency information available
2019-04-01 12:36:52,459 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:activemq-client:jar:5.13.5 is missing, no dependency information available
2019-04-01 12:36:52,466 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:javax.servlet-api:jar:3.0.1 is missing, no dependency information available
2019-04-01 12:36:52,474 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:javax.servlet.jsp-api:jar:2.3.1 is missing, no dependency information available
2019-04-01 12:36:52,480 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:joda-time:jar:2.7 is missing, no dependency information available
2019-04-01 12:36:52,493 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:tika-core:jar:1.18 is missing, no dependency information available
2019-04-01 12:36:52,506 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:innorix-wp:jar:1.1.9 is missing, no dependency information available
2019-04-01 12:36:52,520 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:dom4j:jar:1.6.1 is missing, no dependency information available
2019-04-01 12:36:52,533 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:xmlbeans:jar:2.6.0 is missing, no dependency information available
2019-04-01 12:36:52,547 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:cxf-core:jar:3.1.9 is missing, no dependency information available
2019-04-01 12:36:52,560 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:cxf-rt-bindings-soap:jar:3.1.9 is missing, no dependency information available
2019-04-01 12:36:52,573 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:cxf-rt-bindings-xml:jar:3.1.9 is missing, no dependency information available
2019-04-01 12:36:52,586 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:cxf-rt-databinding-jaxb:jar:3.1.9 is missing, no dependency information available
2019-04-01 12:36:52,600 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:cxf-rt-frontend-simple:jar:3.1.9 is missing, no dependency information available
2019-04-01 12:36:52,613 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:cxf-rt-ws-addr:jar:3.1.9 is missing, no dependency information available
2019-04-01 12:36:52,628 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:cxf-rt-wsdl:jar:3.1.9 is missing, no dependency information available
2019-04-01 12:36:52,641 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:cxf-rt-ws-policy:jar:3.1.9 is missing, no dependency information available
2019-04-01 12:36:52,655 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:cxf-rt-frontend-jaxws:jar:3.1.9 is missing, no dependency information available
2019-04-01 12:36:52,668 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:cxf-rt-transports-http:jar:3.1.9 is missing, no dependency information available
2019-04-01 12:36:52,682 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:woodstox-core-asl:jar:4.2.0 is missing, no dependency information available
2019-04-01 12:36:52,696 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:stax2-api:jar:3.1.4 is missing, no dependency information available
2019-04-01 12:36:52,710 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:neethi:jar:3.0.3 is missing, no dependency information available
2019-04-01 12:36:52,724 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:wsdl4j:jar:1.6.3 is missing, no dependency information available
2019-04-01 12:36:52,738 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:xml-resolver:jar:1.2 is missing, no dependency information available
2019-04-01 12:36:52,751 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:xmlschema-core:jar:2.2.1 is missing, no dependency information available
2019-04-01 12:36:52,764 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:jaxb-core:jar:2.2.11 is missing, no dependency information available
2019-04-01 12:36:52,778 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:jaxb-impl:jar:2.2.11 is missing, no dependency information available
2019-04-01 12:36:52,791 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:velocity:jar:1.7 is missing, no dependency information available
2019-04-01 12:36:52,808 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:ccavutil:jar:1.0.0 is missing, no dependency information available
2019-04-01 12:36:52,815 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:iaikPkcs11Wrapper:jar:1.0.0 is missing, no dependency information available
2019-04-01 12:36:52,822 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:pdfbox-app:jar:2.0.8 is missing, no dependency information available
2019-04-01 12:36:52,829 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:ttswfs:jar:1.0.0 is missing, no dependency information available
2019-04-01 12:36:56,237 [Worker-17] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /kndcs/src/main/java
2019-04-01 12:36:56,238 [Worker-17] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /kndcs/src/main/resources
2019-04-01 12:36:56,267 [Worker-17] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Skipping resource folder /kndcs/src/main/resources/profile/kndcs-local since it's contained by another resource folder
2019-04-01 12:36:56,279 [Worker-17] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Skipping resource folder /kndcs/src/main/resources/profile/kndcs-local since it's contained by another resource folder
2019-04-01 12:36:56,280 [Worker-17] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /kndcs/src/main/resources
2019-04-01 12:36:56,286 [Worker-17] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Skipping resource folder /kndcs/src/main/resources/profile/kndcs-local since it's contained by another resource folder
2019-04-01 12:36:56,286 [Worker-17] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Skipping resource folder /kndcs/src/main/resources/profile/kndcs-local since it's contained by another resource folder
2019-04-01 12:36:56,286 [Worker-17] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /kndcs/src/test/java
2019-04-01 12:37:17,697 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.maven.ide.eclipse:lifecycle-mapping:jar:0.9.9-SNAPSHOT is missing, no dependency information available
2019-04-01 12:37:17,703 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Failed to retrieve plugin descriptor for org.apache.maven.ide.eclipse:lifecycle-mapping:0.9.9-SNAPSHOT: Plugin org.apache.maven.ide.eclipse:lifecycle-mapping:0.9.9-SNAPSHOT or one of its dependencies could not be resolved: Could not find artifact org.apache.maven.ide.eclipse:lifecycle-mapping:jar:0.9.9-SNAPSHOT
2019-04-01 12:37:17,805 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.maven.ide.eclipse:lifecycle-mapping:jar:0.9.9-SNAPSHOT is missing, no dependency information available
2019-04-01 12:37:17,812 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Failed to retrieve plugin descriptor for org.apache.maven.ide.eclipse:lifecycle-mapping:0.9.9-SNAPSHOT: Plugin org.apache.maven.ide.eclipse:lifecycle-mapping:0.9.9-SNAPSHOT or one of its dependencies could not be resolved: Could not find artifact org.apache.maven.ide.eclipse:lifecycle-mapping:jar:0.9.9-SNAPSHOT
2019-04-01 12:37:17,941 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:jasypt-spring3:jar:1.9.2 is missing, no dependency information available
2019-04-01 12:37:17,949 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:spring-modules-validation:jar:0.8 is missing, no dependency information available
2019-04-01 12:37:17,957 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:commons-validator:jar:1.3.0 is missing, no dependency information available
2019-04-01 12:37:17,966 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:json-lib-ext-spring:jar:1.0.2 is missing, no dependency information available
2019-04-01 12:37:17,974 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:json-lib-jdk15:jar:2.2.2 is missing, no dependency information available
2019-04-01 12:37:17,983 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:ezmorph:jar:1.0.6 is missing, no dependency information available
2019-04-01 12:37:17,992 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:jstl:jar:1.1.2 is missing, no dependency information available
2019-04-01 12:37:18,000 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:taglibs:jar:1.1.2 is missing, no dependency information available
2019-04-01 12:37:18,008 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:ehcache:jar:2.10.0 is missing, no dependency information available
2019-04-01 12:37:18,016 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:webappenhance:jar:1.0.1 is missing, no dependency information available
2019-04-01 12:37:18,025 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:hibernate-validator:jar:5.1.3.Final is missing, no dependency information available
2019-04-01 12:37:18,034 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:hibernate-annotations:jar:3.5.6-Final is missing, no dependency information available
2019-04-01 12:37:18,042 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:hibernate-entitymanager:jar:5.1.0.Final is missing, no dependency information available
2019-04-01 12:37:18,052 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:hibernate-core:jar:5.1.0.Final is missing, no dependency information available
2019-04-01 12:37:18,060 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:jboss-logging:jar:3.3.0.Final is missing, no dependency information available
2019-04-01 12:37:18,068 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:classmate:jar:1.3.4 is missing, no dependency information available
2019-04-01 12:37:18,076 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_core:commons-fileupload:jar:1.3.3 is missing, no dependency information available
2019-04-01 12:37:18,084 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:tiles-core:jar:3.0.4 is missing, no dependency information available
2019-04-01 12:37:18,091 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:tiles-servlet:jar:3.0.4 is missing, no dependency information available
2019-04-01 12:37:18,098 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:tiles-jsp:jar:3.0.4 is missing, no dependency information available
2019-04-01 12:37:18,105 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:tiles-extras:jar:3.0.4 is missing, no dependency information available
2019-04-01 12:37:18,114 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:tiles-api:jar:3.0.4 is missing, no dependency information available
2019-04-01 12:37:18,122 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:tiles-template:jar:3.0.4 is missing, no dependency information available
2019-04-01 12:37:18,129 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:tiles-request-servlet-wildcard:jar:1.0.6 is missing, no dependency information available
2019-04-01 12:37:18,137 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:tiles-request-api:jar:1.0.6 is missing, no dependency information available
2019-04-01 12:37:18,144 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:tiles-request-servlet:jar:1.0.6 is missing, no dependency information available
2019-04-01 12:37:18,152 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:tiles-request-jsp:jar:1.0.6 is missing, no dependency information available
2019-04-01 12:37:18,160 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:tiles-autotag-core-runtime:jar:1.2 is missing, no dependency information available
2019-04-01 12:37:18,169 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:commons-digester:jar:2.0 is missing, no dependency information available
2019-04-01 12:37:18,177 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_core:jcl-over-slf4j:jar:1.7.25 is missing, no dependency information available
2019-04-01 12:37:18,183 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:log4jdbc-log4j2-jdbc4.1:jar:1.16 is missing, no dependency information available
2019-04-01 12:37:18,191 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_core:commons-pool:jar:1.6 is missing, no dependency information available
2019-04-01 12:37:18,198 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:activemq-pool:jar:5.13.5 is missing, no dependency information available
2019-04-01 12:37:18,205 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:activemq-broker:jar:5.13.5 is missing, no dependency information available
2019-04-01 12:37:18,212 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:activemq-client:jar:5.13.5 is missing, no dependency information available
2019-04-01 12:37:18,220 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:javax.servlet-api:jar:3.0.1 is missing, no dependency information available
2019-04-01 12:37:18,226 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:javax.servlet.jsp-api:jar:2.3.1 is missing, no dependency information available
2019-04-01 12:37:18,233 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:joda-time:jar:2.7 is missing, no dependency information available
2019-04-01 12:37:18,241 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:tika-core:jar:1.18 is missing, no dependency information available
2019-04-01 12:37:18,249 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:innorix-wp:jar:1.1.9 is missing, no dependency information available
2019-04-01 12:37:18,255 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:dom4j:jar:1.6.1 is missing, no dependency information available
2019-04-01 12:37:18,262 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:xmlbeans:jar:2.6.0 is missing, no dependency information available
2019-04-01 12:37:18,269 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:cxf-core:jar:3.1.9 is missing, no dependency information available
2019-04-01 12:37:18,276 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:cxf-rt-bindings-soap:jar:3.1.9 is missing, no dependency information available
2019-04-01 12:37:18,283 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:cxf-rt-bindings-xml:jar:3.1.9 is missing, no dependency information available
2019-04-01 12:37:18,290 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:cxf-rt-databinding-jaxb:jar:3.1.9 is missing, no dependency information available
2019-04-01 12:37:18,297 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:cxf-rt-frontend-simple:jar:3.1.9 is missing, no dependency information available
2019-04-01 12:37:18,304 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:cxf-rt-ws-addr:jar:3.1.9 is missing, no dependency information available
2019-04-01 12:37:18,311 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:cxf-rt-wsdl:jar:3.1.9 is missing, no dependency information available
2019-04-01 12:37:18,318 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:cxf-rt-ws-policy:jar:3.1.9 is missing, no dependency information available
2019-04-01 12:37:18,325 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:cxf-rt-frontend-jaxws:jar:3.1.9 is missing, no dependency information available
2019-04-01 12:37:18,333 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:cxf-rt-transports-http:jar:3.1.9 is missing, no dependency information available
2019-04-01 12:37:18,341 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:woodstox-core-asl:jar:4.2.0 is missing, no dependency information available
2019-04-01 12:37:18,349 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:stax2-api:jar:3.1.4 is missing, no dependency information available
2019-04-01 12:37:18,356 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:neethi:jar:3.0.3 is missing, no dependency information available
2019-04-01 12:37:18,365 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:wsdl4j:jar:1.6.3 is missing, no dependency information available
2019-04-01 12:37:18,372 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:xml-resolver:jar:1.2 is missing, no dependency information available
2019-04-01 12:37:18,381 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:xmlschema-core:jar:2.2.1 is missing, no dependency information available
2019-04-01 12:37:18,388 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:jaxb-core:jar:2.2.11 is missing, no dependency information available
2019-04-01 12:37:18,395 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:jaxb-impl:jar:2.2.11 is missing, no dependency information available
2019-04-01 12:37:18,403 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:velocity:jar:1.7 is missing, no dependency information available
2019-04-01 12:37:18,412 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:ccavutil:jar:1.0.0 is missing, no dependency information available
2019-04-01 12:37:18,419 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:iaikPkcs11Wrapper:jar:1.0.0 is missing, no dependency information available
2019-04-01 12:37:18,426 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:pdfbox-app:jar:2.0.8 is missing, no dependency information available
2019-04-01 12:37:18,433 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:ttswfs:jar:1.0.0 is missing, no dependency information available
2019-04-01 12:37:18,745 [Worker-17] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 30 sec
2019-04-01 12:37:39,359 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:jasypt-spring3:jar:1.9.2 is missing, no dependency information available
2019-04-01 12:37:39,370 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:spring-modules-validation:jar:0.8 is missing, no dependency information available
2019-04-01 12:37:39,381 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:commons-validator:jar:1.3.0 is missing, no dependency information available
2019-04-01 12:37:39,391 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:json-lib-ext-spring:jar:1.0.2 is missing, no dependency information available
2019-04-01 12:37:39,401 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:json-lib-jdk15:jar:2.2.2 is missing, no dependency information available
2019-04-01 12:37:39,413 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:ezmorph:jar:1.0.6 is missing, no dependency information available
2019-04-01 12:37:39,423 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:jstl:jar:1.1.2 is missing, no dependency information available
2019-04-01 12:37:39,433 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:taglibs:jar:1.1.2 is missing, no dependency information available
2019-04-01 12:37:39,444 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:ehcache:jar:2.10.0 is missing, no dependency information available
2019-04-01 12:37:39,455 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:webappenhance:jar:1.0.1 is missing, no dependency information available
2019-04-01 12:37:39,466 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for ndms_lib:hibernate-validator:jar:5.1.3.Final is missing, no dependency information available
